Week,Day,Session,Exercise,Prescription,Rest_s,RPE_Target,Cues,Log_Weight,Log_Reps,Log_Symptoms_0_10,Log_Notes
,,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,5-6,Baja pulsaciones; relaja,,,,
,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
,,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera,aductores,glúteo),,—,Sin rebotes; rango cómodo,,
,,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,5-6,Rango cómodo,,,,
,,Fuerza Lower 2 (acond.),Curl femoral (máquina),2x12,75-120,5-6,Control; 1s abajo,,,,
,,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),2x12,75-120,5-6,Control; sin dolor rodilla,,,,
,,Fuerza Lower 2 (acond.),Step-up (banco),2x10 c/pierna,75-120,5-6,Apoya pie completo; rodilla estable,,,,
,,Fuerza Lower 2 (acond.),Gemelos (máquina),2x12-15,60-90,5-6,Pausa arriba 1s; estira abajo,,,,
,,Fuerza Lower 2 (acond.),Dead bug,2x10 c/lado,45-60,5-6,Espalda pegada; lento,,,,
,,Fuerza Lower 2 (acond.),Farmer carry,2x30-40s,60-90,5-6,Postura alta; pasos cortos,,,,
,,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,5-6,Sin estirar agresivo,,,,
,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,5-6,Escápulas activas,,,,
,,Fuerza Upper 2 (acond.),Dominada asistida o jalón,2x10-12,90-150,5-6,Sin balanceo; control,,,,
,,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),2x10-12,90-150,5-6,Codos atrás; espalda media,,,,
,,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),2x10-12,90-150,5-6,Exhala arriba; abdomen firme,,,,
,,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,2x12-15,60-90,5-6,Rango cómodo; sin sobreestirar,,,,
,,Fuerza Upper 2 (acond.),Curl bíceps,2x12-15,60-90,5-6,Control,,,,
,,Fuerza Upper 2 (acond.),Tríceps,2x12-15,60-90,5-6,Control,,,,
,,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,5-6,Baja activación,,,,
,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
2,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6,Respira; sin prisa; rango cómodo,,,,
,,Fuerza Lower 1 (acond.),Prensa,3x10-12,90-150,6,Exhala al empujar; rodillas siguen la punta del pie,,,,
,,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),3x8-10,90-150,6,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
,,Fuerza Lower 1 (acond.),Hip thrust / Puente,3x12,90-120,6,Pausa 1s arriba; glúteo,no lumbar,,,
,,Fuerza Lower 1 (acond.),Abductores (máquina),2x15,60-90,6,Controlado; 1s al abrir,,,,
,,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),2x30-40s,45-60,6,Suave; sin dolor; siente aductores,,,,
,,Fuerza Lower 1 (acond.),Pallof press (polea),2x10-12 c/lado,45-60,6,Anti-rotación; costillas abajo,,,,
,,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,6,Exhalación larga; relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,6,Activa escápulas; sin dolor,,,,
,,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),3x10-12,90-150,6,Exhala al subir; hombros abajo,,,,
,,Fuerza Upper 1 (acond.),Remo sentado (polea),3x10-12,90-150,6,Pecho alto; lleva codos atrás,,,,
,,Fuerza Upper 1 (acond.),Jalón al pecho,3x10-12,90-150,6,No balanceo; baja al pecho alto,,,,
,,Fuerza Upper 1 (acond.),Elevación lateral,2x12-15,60-90,6,Control; sin encoger trapecio,,,,
,,Fuerza Upper 1 (acond.),Face pull (polea),2x12-15,60-90,6,Codos altos; aprieta espalda alta,,,,
,,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12-15,60-90,6,Codos fijos; control,,,,
,,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12-15,60-90,6,Sin balanceo; control,,,,
,,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,6,Baja pulsaciones; relaja,,,,
,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
,,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera,aductores,glúteo),,—,Sin rebotes; rango cómodo,,
,,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,6,Rango cómodo,,,,
,,Fuerza Lower 2 (acond.),Curl femoral (máquina),3x12,75-120,6,Control; 1s abajo,,,,
,,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),3x12,75-120,6,Control; sin dolor rodilla,,,,
,,Fuerza Lower 2 (acond.),Step-up (banco),2x10 c/pierna,75-120,6,Apoya pie completo; rodilla estable,,,,
,,Fuerza Lower 2 (acond.),Gemelos (máquina),3x12-15,60-90,6,Pausa arriba 1s; estira abajo,,,,
,,Fuerza Lower 2 (acond.),Dead bug,2x10 c/lado,45-60,6,Espalda pegada; lento,,,,
,,Fuerza Lower 2 (acond.),Farmer carry,3x40s,60-90,6,Postura alta; pasos cortos,,,,
,,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,6,Sin estirar agresivo,,,,
,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,6,Escápulas activas,,,,
,,Fuerza Upper 2 (acond.),Dominada asistida o jalón,3x10-12,90-150,6,Sin balanceo; control,,,,
,,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),3x10-12,90-150,6,Codos atrás; espalda media,,,,
,,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),3x10-12,90-150,6,Exhala arriba; abdomen firme,,,,
,,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,2x12-15,60-90,6,Rango cómodo; sin sobreestirar,,,,
,,Fuerza Upper 2 (acond.),Curl bíceps,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 2 (acond.),Tríceps,2x12-15,60-90,6,Control,,,,
,,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,6,Baja activación,,,,
,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
3,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Respira; sin prisa; rango cómodo,,,,
,,Fuerza Lower 1 (acond.),Prensa,3x8-10,90-150,6-7,Exhala al empujar; rodillas siguen la punta del pie,,,,
,,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
,,Fuerza Lower 1 (acond.),Hip thrust / Puente,3x10-12,90-120,6-7,Pausa 1s arriba; glúteo,no lumbar,,,
,,Fuerza Lower 1 (acond.),Abductores (máquina),3x15,60-90,6-7,Controlado; 1s al abrir,,,,
,,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),3x30-40s,45-60,6-7,Suave; sin dolor; siente aductores,,,,
,,Fuerza Lower 1 (acond.),Pallof press (polea),3x10-12 c/lado,45-60,6-7,Anti-rotación; costillas abajo,,,,
,,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,6-7,Exhalación larga; relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,6-7,Activa escápulas; sin dolor,,,,
,,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),3x8-10,90-150,6-7,Exhala al subir; hombros abajo,,,,
,,Fuerza Upper 1 (acond.),Remo sentado (polea),3x8-10,90-150,6-7,Pecho alto; lleva codos atrás,,,,
,,Fuerza Upper 1 (acond.),Jalón al pecho,3x8-10,90-150,6-7,No balanceo; baja al pecho alto,,,,
,,Fuerza Upper 1 (acond.),Elevación lateral,3x12-15,60-90,6-7,Control; sin encoger trapecio,,,,
,,Fuerza Upper 1 (acond.),Face pull (polea),3x12-15,60-90,6-7,Codos altos; aprieta espalda alta,,,,
,,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12-15,60-90,6-7,Codos fijos; control,,,,
,,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12-15,60-90,6-7,Sin balanceo; control,,,,
,,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,6-7,Baja pulsaciones; relaja,,,,
,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
,,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera,aductores,glúteo),,—,Sin rebotes; rango cómodo,,
,,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,6-7,Rango cómodo,,,,
,,Fuerza Lower 2 (acond.),Curl femoral (máquina),3x10-12,75-120,6-7,Control; 1s abajo,,,,
,,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),3x10-12,75-120,6-7,Control; sin dolor rodilla,,,,
,,Fuerza Lower 2 (acond.),Step-up (banco),3x8-10 c/pierna,75-120,6-7,Apoya pie completo; rodilla estable,,,,
,,Fuerza Lower 2 (acond.),Gemelos (máquina),3x12-15,60-90,6-7,Pausa arriba 1s; estira abajo,,,,
,,Fuerza Lower 2 (acond.),Dead bug,3x10 c/lado,45-60,6-7,Espalda pegada; lento,,,,
,,Fuerza Lower 2 (acond.),Farmer carry,3x45-60s,60-90,6-7,Postura alta; pasos cortos,,,,
,,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,6-7,Sin estirar agresivo,,,,
,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,6-7,Escápulas activas,,,,
,,Fuerza Upper 2 (acond.),Dominada asistida o jalón,3x8-10,90-150,6-7,Sin balanceo; control,,,,
,,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),3x8-10,90-150,6-7,Codos atrás; espalda media,,,,
,,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),3x8-10,90-150,6-7,Exhala arriba; abdomen firme,,,,
,,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,3x12-15,60-90,6-7,Rango cómodo; sin sobreestirar,,,,
,,Fuerza Upper 2 (acond.),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (acond.),Tríceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,6-7,Baja activación,,,,
,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
4,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,5-6,Respira; sin prisa; rango cómodo,,,,
,,Fuerza Lower 1 (acond.),Prensa,2x10,90-150,5-6,Exhala al empujar; rodillas siguen la punta del pie,,,,
,,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),2x8,90-150,5-6,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
,,Fuerza Lower 1 (acond.),Hip thrust / Puente,2x12,90-120,5-6,Pausa 1s arriba; glúteo,no lumbar,,,
,,Fuerza Lower 1 (acond.),Abductores (máquina),2x15,60-90,5-6,Controlado; 1s al abrir,,,,
,,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),2x30-40s,45-60,5-6,Suave; sin dolor; siente aductores,,,,
,,Fuerza Lower 1 (acond.),Pallof press (polea),2x10-12 c/lado,45-60,5-6,Anti-rotación; costillas abajo,,,,
,,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,5-6,Exhalación larga; relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,5-6,Activa escápulas; sin dolor,,,,
,,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),2x10,90-150,5-6,Exhala al subir; hombros abajo,,,,
,,Fuerza Upper 1 (acond.),Remo sentado (polea),2x10,90-150,5-6,Pecho alto; lleva codos atrás,,,,
,,Fuerza Upper 1 (acond.),Jalón al pecho,2x10,90-150,5-6,No balanceo; baja al pecho alto,,,,
,,Fuerza Upper 1 (acond.),Elevación lateral,2x12,60-90,5-6,Control; sin encoger trapecio,,,,
,,Fuerza Upper 1 (acond.),Face pull (polea),2x12,60-90,5-6,Codos altos; aprieta espalda alta,,,,
,,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12,60-90,5-6,Codos fijos; control,,,,
,,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12,60-90,5-6,Sin balanceo; control,,,,
,,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,5-6,Baja pulsaciones; relaja,,,,
,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
,,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera,aductores,glúteo),,—,Sin rebotes; rango cómodo,,
,,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,5-6,Rango cómodo,,,,
,,Fuerza Lower 2 (acond.),Curl femoral (máquina),2x12,75-120,5-6,Control; 1s abajo,,,,
,,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),2x12,75-120,5-6,Control; sin dolor rodilla,,,,
,,Fuerza Lower 2 (acond.),Step-up (banco),2x8 c/pierna,75-120,5-6,Apoya pie completo; rodilla estable,,,,
,,Fuerza Lower 2 (acond.),Gemelos (máquina),2x12,60-90,5-6,Pausa arriba 1s; estira abajo,,,,
,,Fuerza Lower 2 (acond.),Dead bug,2x10 c/lado,45-60,5-6,Espalda pegada; lento,,,,
,,Fuerza Lower 2 (acond.),Farmer carry,2x30-40s,60-90,5-6,Postura alta; pasos cortos,,,,
,,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,5-6,Sin estirar agresivo,,,,
,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,5-6,Escápulas activas,,,,
,,Fuerza Upper 2 (acond.),Dominada asistida o jalón,2x10,90-150,5-6,Sin balanceo; control,,,,
,,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),2x10,90-150,5-6,Codos atrás; espalda media,,,,
,,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),2x10,90-150,5-6,Exhala arriba; abdomen firme,,,,
,,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,2x12-15,60-90,5-6,Rango cómodo; sin sobreestirar,,,,
,,Fuerza Upper 2 (acond.),Curl bíceps,2x12,60-90,5-6,Control,,,,
,,Fuerza Upper 2 (acond.),Tríceps,2x12,60-90,5-6,Control,,,,
,,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,5-6,Baja activación,,,,
,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
,,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
,,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
,,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
,,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
,,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
,,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
,,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
,,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
,,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
,,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
,,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
,,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
,,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
,,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
,,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
7,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,7,Exhala; rango cómodo,,,,
,,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,7,Exhala al empujar; control,,,,
,,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,7,Cadera atrás; espalda neutra,,,,
,,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,7,Pausa 1s arriba; glúteo,,,,
,,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,7,Controlado,,,,
,,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,7,Ligero; sin dolor,,,,
,,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,7,Anti-rotación,,,,
,,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,7,Relaja suelo pélvico,,,,
,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,7,Activa escápulas,,,,
