Week,Day,Session,Exercise,Prescription,Rest_s,RPE_Target,Cues,Log_Weight,Log_Reps,Log_Symptoms_0_10,Log_Notes
1,Jueves,Fuerza Lower 2 (acond.),Gemelos (máquina),2x12-15,60-90,5-6,Pausa arriba 1s; estira abajo,,,,
1,Jueves,Fuerza Lower 2 (acond.),Dead bug,2x10 c/lado,45-60,5-6,Espalda pegada; lento,,,,
1,Jueves,Fuerza Lower 2 (acond.),Farmer carry,2x30-40s,60-90,5-6,Postura alta; pasos cortos,,,,
1,Jueves,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,5-6,Sin estirar agresivo,,,,
1,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,5-6,Escápulas activas,,,,
1,Viernes,Fuerza Upper 2 (acond.),Dominada asistida o jalón,2x10-12,90-150,5-6,Sin balanceo; control,,,,
1,Viernes,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),2x10-12,90-150,5-6,Codos atrás; espalda media,,,,
1,Viernes,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),2x10-12,90-150,5-6,Exhala arriba; abdomen firme,,,,
1,Viernes,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,2x12-15,60-90,5-6,Rango cómodo; sin sobreestirar,,,,
1,Viernes,Fuerza Upper 2 (acond.),Curl bíceps,2x12-15,60-90,5-6,Control,,,,
1,Viernes,Fuerza Upper 2 (acond.),Tríceps,2x12-15,60-90,5-6,Control,,,,
1,Viernes,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,5-6,Baja activación,,,,
1,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
1,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
2,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6,Respira; sin prisa; rango cómodo,,,,
2,Lunes,Fuerza Lower 1 (acond.),Prensa,3x10-12,90-150,6,Exhala al empujar; rodillas siguen la punta del pie,,,,
2,Lunes,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),3x8-10,90-150,6,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
2,Lunes,Fuerza Lower 1 (acond.),Hip thrust / Puente,3x12,90-120,6,Pausa 1s arriba; glúteo, no lumbar,,,,
2,Lunes,Fuerza Lower 1 (acond.),Abductores (máquina),2x15,60-90,6,Controlado; 1s al abrir,,,,
2,Lunes,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),2x30-40s,45-60,6,Suave; sin dolor; siente aductores,,,,
2,Lunes,Fuerza Lower 1 (acond.),Pallof press (polea),2x10-12 c/lado,45-60,6,Anti-rotación; costillas abajo,,,,
2,Lunes,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,6,Exhalación larga; relaja suelo pélvico,,,,
2,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,6,Activa escápulas; sin dolor,,,,
2,Martes,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),3x10-12,90-150,6,Exhala al subir; hombros abajo,,,,
2,Martes,Fuerza Upper 1 (acond.),Remo sentado (polea),3x10-12,90-150,6,Pecho alto; lleva codos atrás,,,,
2,Martes,Fuerza Upper 1 (acond.),Jalón al pecho,3x10-12,90-150,6,No balanceo; baja al pecho alto,,,,
2,Martes,Fuerza Upper 1 (acond.),Elevación lateral,2x12-15,60-90,6,Control; sin encoger trapecio,,,,
2,Martes,Fuerza Upper 1 (acond.),Face pull (polea),2x12-15,60-90,6,Codos altos; aprieta espalda alta,,,,
2,Martes,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12-15,60-90,6,Codos fijos; control,,,,
2,Martes,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12-15,60-90,6,Sin balanceo; control,,,,
2,Martes,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,6,Baja pulsaciones; relaja,,,,
2,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
2,Miércoles,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera, aductores, glúteo),,—,Sin rebotes; rango cómodo,,,,
2,Miércoles,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
2,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,6,Rango cómodo,,,,
2,Jueves,Fuerza Lower 2 (acond.),Curl femoral (máquina),3x12,75-120,6,Control; 1s abajo,,,,
2,Jueves,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),3x12,75-120,6,Control; sin dolor rodilla,,,,
2,Jueves,Fuerza Lower 2 (acond.),Step-up (banco),2x10 c/pierna,75-120,6,Apoya pie completo; rodilla estable,,,,
2,Jueves,Fuerza Lower 2 (acond.),Gemelos (máquina),3x12-15,60-90,6,Pausa arriba 1s; estira abajo,,,,
2,Jueves,Fuerza Lower 2 (acond.),Dead bug,2x10 c/lado,45-60,6,Espalda pegada; lento,,,,
2,Jueves,Fuerza Lower 2 (acond.),Farmer carry,3x40s,60-90,6,Postura alta; pasos cortos,,,,
2,Jueves,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,6,Sin estirar agresivo,,,,
2,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,6,Escápulas activas,,,,
2,Viernes,Fuerza Upper 2 (acond.),Dominada asistida o jalón,3x10-12,90-150,6,Sin balanceo; control,,,,
2,Viernes,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),3x10-12,90-150,6,Codos atrás; espalda media,,,,
2,Viernes,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),3x10-12,90-150,6,Exhala arriba; abdomen firme,,,,
2,Viernes,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,2x12-15,60-90,6,Rango cómodo; sin sobreestirar,,,,
2,Viernes,Fuerza Upper 2 (acond.),Curl bíceps,2x12-15,60-90,6,Control,,,,
2,Viernes,Fuerza Upper 2 (acond.),Tríceps,2x12-15,60-90,6,Control,,,,
2,Viernes,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,6,Baja activación,,,,
2,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
2,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
3,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Respira; sin prisa; rango cómodo,,,,
3,Lunes,Fuerza Lower 1 (acond.),Prensa,3x8-10,90-150,6-7,Exhala al empujar; rodillas siguen la punta del pie,,,,
3,Lunes,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
3,Lunes,Fuerza Lower 1 (acond.),Hip thrust / Puente,3x10-12,90-120,6-7,Pausa 1s arriba; glúteo, no lumbar,,,,
3,Lunes,Fuerza Lower 1 (acond.),Abductores (máquina),3x15,60-90,6-7,Controlado; 1s al abrir,,,,
3,Lunes,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),3x30-40s,45-60,6-7,Suave; sin dolor; siente aductores,,,,
3,Lunes,Fuerza Lower 1 (acond.),Pallof press (polea),3x10-12 c/lado,45-60,6-7,Anti-rotación; costillas abajo,,,,
3,Lunes,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,6-7,Exhalación larga; relaja suelo pélvico,,,,
3,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,6-7,Activa escápulas; sin dolor,,,,
3,Martes,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),3x8-10,90-150,6-7,Exhala al subir; hombros abajo,,,,
3,Martes,Fuerza Upper 1 (acond.),Remo sentado (polea),3x8-10,90-150,6-7,Pecho alto; lleva codos atrás,,,,
3,Martes,Fuerza Upper 1 (acond.),Jalón al pecho,3x8-10,90-150,6-7,No balanceo; baja al pecho alto,,,,
3,Martes,Fuerza Upper 1 (acond.),Elevación lateral,3x12-15,60-90,6-7,Control; sin encoger trapecio,,,,
3,Martes,Fuerza Upper 1 (acond.),Face pull (polea),3x12-15,60-90,6-7,Codos altos; aprieta espalda alta,,,,
3,Martes,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12-15,60-90,6-7,Codos fijos; control,,,,
3,Martes,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12-15,60-90,6-7,Sin balanceo; control,,,,
3,Martes,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,6-7,Baja pulsaciones; relaja,,,,
3,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
3,Miércoles,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera, aductores, glúteo),,—,Sin rebotes; rango cómodo,,,,
3,Miércoles,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
3,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,6-7,Rango cómodo,,,,
3,Jueves,Fuerza Lower 2 (acond.),Curl femoral (máquina),3x10-12,75-120,6-7,Control; 1s abajo,,,,
3,Jueves,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),3x10-12,75-120,6-7,Control; sin dolor rodilla,,,,
3,Jueves,Fuerza Lower 2 (acond.),Step-up (banco),3x8-10 c/pierna,75-120,6-7,Apoya pie completo; rodilla estable,,,,
3,Jueves,Fuerza Lower 2 (acond.),Gemelos (máquina),3x12-15,60-90,6-7,Pausa arriba 1s; estira abajo,,,,
3,Jueves,Fuerza Lower 2 (acond.),Dead bug,3x10 c/lado,45-60,6-7,Espalda pegada; lento,,,,
3,Jueves,Fuerza Lower 2 (acond.),Farmer carry,3x45-60s,60-90,6-7,Postura alta; pasos cortos,,,,
3,Jueves,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,6-7,Sin estirar agresivo,,,,
3,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,6-7,Escápulas activas,,,,
3,Viernes,Fuerza Upper 2 (acond.),Dominada asistida o jalón,3x8-10,90-150,6-7,Sin balanceo; control,,,,
3,Viernes,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),3x8-10,90-150,6-7,Codos atrás; espalda media,,,,
3,Viernes,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),3x8-10,90-150,6-7,Exhala arriba; abdomen firme,,,,
3,Viernes,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,3x12-15,60-90,6-7,Rango cómodo; sin sobreestirar,,,,
3,Viernes,Fuerza Upper 2 (acond.),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
3,Viernes,Fuerza Upper 2 (acond.),Tríceps,2x12-15,60-90,6-7,Control,,,,
3,Viernes,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,6-7,Baja activación,,,,
3,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
3,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
4,Lunes,Fuerza Lower 1 (acond.),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,5-6,Respira; sin prisa; rango cómodo,,,,
4,Lunes,Fuerza Lower 1 (acond.),Prensa,2x10,90-150,5-6,Exhala al empujar; rodillas siguen la punta del pie,,,,
4,Lunes,Fuerza Lower 1 (acond.),Peso muerto rumano (mancuernas),2x8,90-150,5-6,Espalda neutra; cadera atrás; sin tirón en ingle,,,,
4,Lunes,Fuerza Lower 1 (acond.),Hip thrust / Puente,2x12,90-120,5-6,Pausa 1s arriba; glúteo, no lumbar,,,,
4,Lunes,Fuerza Lower 1 (acond.),Abductores (máquina),2x15,60-90,5-6,Controlado; 1s al abrir,,,,
4,Lunes,Fuerza Lower 1 (acond.),Aductor squeeze (toalla/bola),2x30-40s,45-60,5-6,Suave; sin dolor; siente aductores,,,,
4,Lunes,Fuerza Lower 1 (acond.),Pallof press (polea),2x10-12 c/lado,45-60,5-6,Anti-rotación; costillas abajo,,,,
4,Lunes,Fuerza Lower 1 (acond.),Salida,2-3 min respiración diafragmática + estiramiento suave,,5-6,Exhalación larga; relaja suelo pélvico,,,,
4,Martes,Fuerza Upper 1 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro/escápula,,5-6,Activa escápulas; sin dolor,,,,
4,Martes,Fuerza Upper 1 (acond.),Press inclinado (máquina o mancuernas),2x10,90-150,5-6,Exhala al subir; hombros abajo,,,,
4,Martes,Fuerza Upper 1 (acond.),Remo sentado (polea),2x10,90-150,5-6,Pecho alto; lleva codos atrás,,,,
4,Martes,Fuerza Upper 1 (acond.),Jalón al pecho,2x10,90-150,5-6,No balanceo; baja al pecho alto,,,,
4,Martes,Fuerza Upper 1 (acond.),Elevación lateral,2x12,60-90,5-6,Control; sin encoger trapecio,,,,
4,Martes,Fuerza Upper 1 (acond.),Face pull (polea),2x12,60-90,5-6,Codos altos; aprieta espalda alta,,,,
4,Martes,Fuerza Upper 1 (acond.),Tríceps cuerda,2x12,60-90,5-6,Codos fijos; control,,,,
4,Martes,Fuerza Upper 1 (acond.),Curl bíceps (mancuerna/máquina),2x12,60-90,5-6,Sin balanceo; control,,,,
4,Martes,Fuerza Upper 1 (acond.),Salida,2 min respiración + estiramiento suave de pecho/espalda,,5-6,Baja pulsaciones; relaja,,,,
4,Miércoles,Cardio + movilidad (acond.),Cardio Z2,30-40 min (ritmo conversable),,—,Caminadora inclinada/bici; sin ahogarte,,,,
4,Miércoles,Cardio + movilidad (acond.),Movilidad,8-10 min (flexores cadera, aductores, glúteo),,—,Sin rebotes; rango cómodo,,,,
4,Miércoles,Cardio + movilidad (acond.),Respiración,2-3 min diafragmática (exhalación larga),,—,Relaja suelo pélvico,,,,
4,Jueves,Fuerza Lower 2 (acond.),Calentamiento,8 min cardio suave + movilidad cadera/tobillo,,5-6,Rango cómodo,,,,
4,Jueves,Fuerza Lower 2 (acond.),Curl femoral (máquina),2x12,75-120,5-6,Control; 1s abajo,,,,
4,Jueves,Fuerza Lower 2 (acond.),Extensión cuádriceps (máquina),2x12,75-120,5-6,Control; sin dolor rodilla,,,,
4,Jueves,Fuerza Lower 2 (acond.),Step-up (banco),2x8 c/pierna,75-120,5-6,Apoya pie completo; rodilla estable,,,,
4,Jueves,Fuerza Lower 2 (acond.),Gemelos (máquina),2x12,60-90,5-6,Pausa arriba 1s; estira abajo,,,,
4,Jueves,Fuerza Lower 2 (acond.),Dead bug,2x10 c/lado,45-60,5-6,Espalda pegada; lento,,,,
4,Jueves,Fuerza Lower 2 (acond.),Farmer carry,2x30-40s,60-90,5-6,Postura alta; pasos cortos,,,,
4,Jueves,Fuerza Lower 2 (acond.),Salida,2-3 min respiración + estiramiento suave,,5-6,Sin estirar agresivo,,,,
4,Viernes,Fuerza Upper 2 (acond.),Calentamiento,6-8 min cardio suave + movilidad hombro,,5-6,Escápulas activas,,,,
4,Viernes,Fuerza Upper 2 (acond.),Dominada asistida o jalón,2x10,90-150,5-6,Sin balanceo; control,,,,
4,Viernes,Fuerza Upper 2 (acond.),Remo pecho apoyado (máquina),2x10,90-150,5-6,Codos atrás; espalda media,,,,
4,Viernes,Fuerza Upper 2 (acond.),Press militar sentado (máquina/mancuernas),2x10,90-150,5-6,Exhala arriba; abdomen firme,,,,
4,Viernes,Fuerza Upper 2 (acond.),Pec deck / aperturas máquina,2x12-15,60-90,5-6,Rango cómodo; sin sobreestirar,,,,
4,Viernes,Fuerza Upper 2 (acond.),Curl bíceps,2x12,60-90,5-6,Control,,,,
4,Viernes,Fuerza Upper 2 (acond.),Tríceps,2x12,60-90,5-6,Control,,,,
4,Viernes,Fuerza Upper 2 (acond.),Salida,2 min respiración + movilidad suave,,5-6,Baja activación,,,,
4,Sábado,Baile,Baile,60 min,,—,Cuenta como cardio; hidrátate,,,,
4,Domingo,Baile,Baile,60 min,,—,Recuperación activa; estira suave si lo necesitas,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
5,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
5,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
5,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
5,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
5,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
5,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
5,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
5,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
5,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
5,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
5,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
5,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
5,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Remo pecho apoyado (máquina),3x8-12,90-150,6-7,Espalda media,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Press militar sentado,3x8-10,90-150,6-7,Exhala arriba,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Pec deck / aperturas,2x12-15,60-90,6-7,Rango cómodo,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Tríceps,2x12-15,60-90,6-7,Control,,,,
5,Viernes,Fuerza Upper 2 (fase 2),Salida,2 min respiración,,6-7,Baja pulsaciones,,,,
5,Sábado,Baile,Baile,60 min,,—,Cardio divertido; hidrátate,,,,
5,Domingo,Baile,Baile,60 min,,—,Recuperación activa,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Calentamiento,8-10 min caminadora/bici + movilidad cadera/aductores,,6-7,Exhala; rango cómodo,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Prensa,4x8-10,90-150,6-7,Exhala al empujar; control,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Peso muerto rumano (mancuernas),3x8-10,90-150,6-7,Cadera atrás; espalda neutra,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Hip thrust / máquina,3x10-12,90-150,6-7,Pausa 1s arriba; glúteo,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Abductores (máquina),2x15,60-90,6-7,Controlado,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Aductores (máquina) o squeeze,2x12-15,60-90,6-7,Ligero; sin dolor,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Pallof press (polea),2x10-12 c/lado,45-60,6-7,Anti-rotación,,,,
6,Lunes,Fuerza Lower 1 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja suelo pélvico,,,,
6,Martes,Fuerza Upper 1 (fase 2),Calentamiento,6-8 min + movilidad hombro/escápula,,6-7,Activa escápulas,,,,
6,Martes,Fuerza Upper 1 (fase 2),Press inclinado,4x8-12,90-150,6-7,Exhala arriba,,,,
6,Martes,Fuerza Upper 1 (fase 2),Remo sentado (polea),4x8-12,90-150,6-7,Control,,,,
6,Martes,Fuerza Upper 1 (fase 2),Jalón al pecho,3x8-12,90-150,6-7,Sin balanceo,,,,
6,Martes,Fuerza Upper 1 (fase 2),Elevación lateral,3x12-15,60-90,6-7,Control,,,,
6,Martes,Fuerza Upper 1 (fase 2),Face pull,2x12-15,60-90,6-7,Espalda alta,,,,
6,Martes,Fuerza Upper 1 (fase 2),Tríceps cuerda,2x12-15,60-90,6-7,Control,,,,
6,Martes,Fuerza Upper 1 (fase 2),Curl bíceps,2x12-15,60-90,6-7,Control,,,,
6,Martes,Fuerza Upper 1 (fase 2),Salida,2 min respiración,,6-7,Baja activación,,,,
6,Miércoles,Cardio + movilidad (fase 2),Cardio Z2,30-40 min,,—,Ritmo conversable; hidrátate,,,,
6,Miércoles,Cardio + movilidad (fase 2),Movilidad,8-10 min cadera/aductores + 2 min respiración,,—,Sin rebotes; rango cómodo,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Calentamiento,8 min cardio suave + movilidad,,6-7,Rango cómodo,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Curl femoral,3x10-12,75-120,6-7,Control,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Extensión cuádriceps,3x10-12,75-120,6-7,Control,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Step-up (o prensa ligera si molesta),2x8-10 c/pierna,75-120,6-7,Rodilla estable,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Gemelos,3x12-15,60-90,6-7,Pausa arriba,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Dead bug,2x10 c/lado,45-60,6-7,Lento,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Farmer carry,3x45-60s,60-90,6-7,Postura alta,,,,
6,Jueves,Fuerza Lower 2 (fase 2),Salida,2-3 min respiración + estiramiento suave,,6-7,Relaja,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Calentamiento,6-8 min + movilidad hombro,,6-7,Escápulas activas,,,,
6,Viernes,Fuerza Upper 2 (fase 2),Dominada asistida o jalón,4x6-10,90-150,6-7,Control,,,,
